2015-08-27 14:14:58,288 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:14:58] "GET /?__debugger__=yes&cmd=resource&f=source.png HTTP/1.1" 200 -
2015-08-27 14:14:58,292 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:14:58] "GET /?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
2015-08-27 14:14:58,330 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:14:58] "GET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2015-08-27 14:15:23,941 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:15:23] "GET /?__debugger__=yes&cmd=source&frm=4562909072&s=YLuUpnfiQfJdib9IdER7 HTTP/1.1" 200 -
2015-08-27 14:15:32,976 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:15:32] "GET /?__debugger__=yes&cmd=source&frm=4562908432&s=YLuUpnfiQfJdib9IdER7 HTTP/1.1" 200 -
2015-08-27 14:15:35,326 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:15:35] "GET /?__debugger__=yes&cmd=source&frm=4562908432&s=YLuUpnfiQfJdib9IdER7 HTTP/1.1" 200 -
2015-08-27 14:20:58,693 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:20:58,725 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:20:58,734 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 14:20:58,735 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 14:20:58,755 INFO | _internal | werkzeug |  * Running on http://0.0.0.0:4400/ (Press CTRL+C to quit)
2015-08-27 14:20:58,762 INFO | _internal | werkzeug |  * Restarting with stat
2015-08-27 14:20:59,038 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:20:59,069 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:20:59,078 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 14:20:59,079 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 14:21:05,028 DEBUG | views | root | FUNC::::::: app.main.route.index
